title,link,summary,date
СюжетНові переговори із США. Повернення до угоди,https://ua.korrespondent.net/ukraine/4761347-novi-perehovory-iz-ssha-povernennia-do-uhody,"Радник президента США Дональда Трампа з питань нацбезпеки Майк Волц каже, що зараз триває підготовка до нового раунду переговорів між Америкою та Україною.Новини України- 5 березня 2025, 23:57",2025-03-05 23:57
Удар по Кривому Рогу: кількість загиблих зросла,https://ua.korrespondent.net/ukraine/4761345-udar-po-kryvomu-rohu-kilkist-zahyblykh-zrosla,"У зруйнованому готелі триває рятувальна операція, людей евакуюють із третього та четвертого поверхів.Новини України- 5 березня 2025, 23:52",2025-03-05 23:52
Макрон запропонував використати французьку ядерну зброю для захисту ЄС,https://ua.korrespondent.net/world/4761343-makron-zaproponuvav-vykorystaty-frantsuzku-yadernu-zbroui-dlia-zakhystu-yes,"За словами французького президента, світ вступає в нову епоху, а повномасштабна війна РФ проти України триває вже понад три роки.Новини світу- 5 березня 2025, 23:26",2025-03-05 23:26
"Франція збере глав штабів країн, що згодні відправити контингент в Україну",https://ua.korrespondent.net/world/worldabus/4761340-frantsiia-zbere-hlav-shtabiv-krain-scho-zghodni-vidpravyty-kontynhent-v-ukrainu,"Французький президент припускає, що мир в Україні, певно, вимагатиме розміщення в країні європейських солдатів.Огляд преси- 5 березня 2025, 22:58",2025-03-05 22:58
Трубін ефектним потрійним сейвом врятував Бенфіку від пропущеного,https://ua.korrespondent.net/sport/football/4761335-trubin-efektnym-potriinym-seivom-vriatuvav-benfiku-vid-propuschenoho,"Українець здійснив неймовірний порятунок. Анатолій Трубін врятував команду  з надзвичайно небезпечних позицій.Новини футболу- 5 березня 2025, 22:30",2025-03-05 22:30
СюжетЗупинка обміну розвідданими. Загроза для України,https://ua.korrespondent.net/ukraine/4761312-zupynka-obminu-rozviddanymy-zahroza-dlia-ukrainy,"Як пише Financial Times, співпраця з розвідкою США була важливою для здатності України ідентифікувати та вражати російські військові цілі.Новини України- 5 березня 2025, 22:36",2025-03-05 22:36
"Інтер, незважаючи на нереалізований пенальті, впевнено переграв Фейєнорд",https://ua.korrespondent.net/sport/football/4761330-inter-nezvazhauichy-na-nerealizovanyi-penalti-vpevneno-perehrav-feiienord,"""Нерадзуррі"" спокійно тріумфували проти свого суперника. Матч-відповідь між цими командами пройде через тиждень.Новини футболу- 5 березня 2025, 21:55",2025-03-05 21:55
Легендарна тенісистка стала співвласником клубу жіночої НБА,https://ua.korrespondent.net/sport/other/4761325-lehendarna-tenisystka-stala-spivvlasnykom-klubu-zhinochoi-nba,"Серена Вільямс придбала акцію Торонто Темпо. Колишня спортсменка працюватиме над створенням візуального стилю Темпо.Інші- 5 березня 2025, 21:39",2025-03-05 21:39
"Макрон назвав Росію ""загрозою для всієї Європи""",https://ua.korrespondent.net/world/worldabus/4761326-makron-nazvav-rosiui-zahrozoui-dlia-vsiiei-yevropy,"Французький лідер наголосив, що РФ вже надала своїй війні проти України обрисів війни глобального масштабу.Огляд преси- 5 березня 2025, 21:43",2025-03-05 21:43
Екс-гравець збірної України став спортдиром Полісся,https://ua.korrespondent.net/sport/football/4761320-eks-hravets-zbirnoi-ukrainy-stav-sportdyrom-polissia,"В'ячеслав Шевчук отримав посаду у житомирському колективі. Раніше він працював спортивним директором Вереса.Новини футболу- 5 березня 2025, 20:59",2025-03-05 20:59
Суд оштрафував чиновника ТЦК за мобілізацію росіянина,https://ua.korrespondent.net/ukraine/4761319-sud-oshtrafuvav-chynovnyka-ttsk-za-mobilizatsiui-rosiianyna,"Громадянина РФ поставили на військовий облік та включили до списків мобілізованих для відправки до військової частини.Новини України- 5 березня 2025, 20:57",2025-03-05 20:57
Партнер Забарного - одна з головних цілей Реалу на літнє трансферне вікно,https://ua.korrespondent.net/sport/football/4761315-partner-zabarnoho-odna-z-holovnykh-tsilei-realu-na-litnie-transferne-vikno,"Дін Ґюйсен зацікавив мадридців. Цього  сезону  центрбек провів 25 матчів, забивши 2 м'ячі.Новини футболу- 5 березня 2025, 20:33",2025-03-05 20:33
"""Військовий облік від 14 років"": в ЦПД спростували фейк",https://ua.korrespondent.net/ukraine/4761311-viiskovyi-oblik-vid-14-rokiv-v-tspd-sprostuvaly-feik,"Нардеп з Європейської Солідарності Максим Саврасов також спростував інформацію, яка активно поширюється в ЗМІ.Новини України- 5 березня 2025, 20:24",2025-03-05 20:24
Ціна нафти впала до найнижчого рівня з 2021 року,https://ua.korrespondent.net/business/economics/4761310-tsina-nafty-vpala-do-nainyzhchoho-rivnia-z-2021-roku,"Комерційні запаси нафти у США за минулий тиждень збільшились на 3,614 млн барелів до 433,775 млн барелів. Це значно перевищило очікування аналітиків, які прогнозували збільшення запасів лише на 900 тисяч барелів.Новини економіки- 5 березня 2025, 20:49",2025-03-05 20:49
